;Code;Gender;Age;Mobile;Trial_number;Angle;Step_Angle;Area1;Area2;Area3;n3SquareOrCircle;BiggerCircleOrSquare;PosBig;StimVal;StimVal3;Nalternativas;RT_type1;Response;Correct;Confidence;RT_Confidence;Nsujeto;binary_correct
33;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;33;123,010,879,341,164;-20,943,951,023,932;581,050,002,692,119;464,840,002,153,695;464,840,002,153,695;1;2;2;0,8;0,1;3;3322;2;TRUE;0,0630252314548866;2557;1;1
34;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;34;528,821,280,625,498;-20,943,951,023,932;563,136,739,185,599;394,195,717,429,919;19,709,785,871,496;0;1;1;0,7;0;2;2001;1;TRUE;0,519607992733226;1495;1;1
35;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;35;364,617,961,425,276;20,943,951,023,932;645,933,430,059,021;600,718,089,954,889;240,287,235,981,956;2;1;1;0,93;0,4;3;2481;1;TRUE;0,289916094611673;3590;1;1
36;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;36;242,928,186,160,713;20,943,951,023,932;567,648,666,789,169;527,913,260,113,927;263,956,630,056,964;0;1;1;0,93;0;2;3226;2;FALSE;0,119047688502891;2399;1;0
37;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;37;498,682,582,686,581;-20,943,951,023,932;540,684,500,665,672;37,847,915,046,597;113,543,745,139,791;2;2;2;0,7;0,3;3;1878;2;TRUE;0,225490196078431;5237;1;1
38;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;38;595,623,580,138,822;20,943,951,023,932;753,294,046,669,518;715,629,344,336,042;429,377,606,601,625;2;2;2;0,95;0,6;3;6145;2;TRUE;0,0210084728166169;1631;1;1
39;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;39;616,225,966,748,764;20,943,951,023,932;678,240,753,914,151;644,328,716,218,443;193,298,614,865,533;1;2;2;0,95;0,3;3;1986;1;FALSE;0,205882352941176;2441;1;0
40;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;40;512,781,259,970,437;20,943,951,023,932;737,418,034,746,315;51,619,262,432,242;206,477,049,728,968;0;2;2;0,7;0;2;2149;2;TRUE;0,124649870629404;2366;1;1
41;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;41;543,577,920,680,083;-20,943,951,023,932;915,144,155,973,695;851,084,065,055,536;255,325,219,516,661;0;1;1;0,93;0;2;2188;2;FALSE;0,219887976552926;2105;1;0
42;303de2d8258ebd05fe8bfc0e899bcbad;f;20;1;42;589,927,012,394,202;20,943,951,023,932;873,281,898,909,155;611,297,329,236,408;183,389,198,770,922;0;1;1;0,7;0;2;2030;1;TRUE;0,418767517688228;1975;1;1
