subject,session,run,block,trial_in_block,n_options,dominant_label,alternative_label,excluded_label,response,correct,rt,prop_dominant_dots,dir1_deg,dir2_deg,dir3_deg
1,1,1,3,20,3,3,,,1,0,0.5426,0.55,236.381,356.381,116.381
1,1,1,3,21,3,3,,,3,1,0.5376,0.55,97.56,217.56,337.56
1,1,1,3,22,3,1,,,1,1,0.4699,0.55,68.432,188.432,308.432
1,1,1,3,23,3,2,,,2,1,0.3724,0.55,64.168,184.168,304.168
1,1,1,3,24,3,1,,,2,0,0.4393,0.55,337.2,97.2,217.2
1,1,1,3,25,3,3,,,2,0,0.3907,0.55,314.585,74.585,194.585
1,1,1,3,26,3,1,,,3,0,0.5371,0.55,196.729,316.729,76.729
1,1,1,3,27,3,3,,,2,0,0.4688,0.55,231.756,351.756,111.756
1,1,1,3,28,3,3,,,2,0,0.4024,0.55,170.576,290.576,50.576
1,1,1,3,29,3,3,,,2,0,0.6764,0.55,224.662,344.662,104.662
1,1,1,3,30,3,2,,,1,0,0.4269,0.55,227.62,347.62,107.62
1,1,1,3,31,3,2,,,2,1,0.4266,0.55,32.447,152.447,272.447
1,1,1,3,32,3,1,,,1,1,0.8598,0.55,52.447,172.447,292.447
1,1,1,3,33,3,1,,,2,0,0.5537,0.55,187.225,307.225,67.225
1,1,1,3,34,3,2,,,2,1,0.4689,0.55,49.344,169.344,289.344
1,1,1,3,35,3,3,,,3,1,0.5156,0.55,265.175,25.175,145.175
1,1,1,3,36,3,2,,,2,1,0.4174,0.55,71.698,191.698,311.698
1,1,1,3,37,3,2,,,1,0,0.3686,0.55,351.157,111.157,231.157
1,1,1,3,38,3,1,,,2,0,0.4525,0.55,180.866,300.866,60.866
1,1,1,3,39,3,3,,,1,0,0.4504,0.55,161.319,281.319,41.319
1,1,1,3,40,3,2,,,3,0,0.6095,0.55,169.899,289.899,49.899
1,1,1,3,41,3,2,,,2,1,0.4102,0.55,101.453,221.453,341.453
1,1,1,3,42,3,1,,,3,0,0.9085,0.55,190.468,310.468,70.468
1,1,1,3,43,3,1,,,1,1,0.3932,0.55,263.349,23.349,143.349
1,1,1,3,44,3,3,,,3,1,0.6982,0.55,256.802,16.802,136.802
1,1,1,3,45,3,3,,,3,1,0.5446,0.55,115.517,235.517,355.517
1,1,1,3,46,3,2,,,3,0,0.5716,0.55,226.563,346.563,106.563
1,1,1,3,47,3,1,,,2,0,0.5182,0.55,196.488,316.488,76.488
1,1,1,3,48,3,2,,,2,1,0.4507,0.55,129.922,249.922,9.922
1,1,1,3,49,3,2,,,3,0,0.498,0.55,214.942,334.942,94.942
1,1,1,3,50,3,1,,,1,1,0.3978,0.55,271.946,31.946,151.946
1,1,1,4,1,2,3,,,3,1,0.642,0.55,149.798,269.798,29.798
1,1,1,4,2,2,1,,,1,1,0.4098,0.55,107.434,227.434,347.434
1,1,1,4,3,2,2,,,2,1,0.4117,0.55,77.703,197.703,317.703
1,1,1,4,4,2,1,,,1,1,0.429,0.55,66.152,186.152,306.152
1,1,1,4,5,2,1,,,1,1,0.5409,0.55,32.243,152.243,272.243
1,1,1,4,6,2,2,,,2,1,0.9693,0.55,269.696,29.696,149.696
1,1,1,4,7,2,2,,,2,1,0.4352,0.55,152.184,272.184,32.184
1,1,1,4,8,2,1,,,1,1,0.5943,0.55,225.457,345.457,105.457
1,1,1,4,9,2,1,,,1,1,0.4448,0.55,130.466,250.466,10.466
1,1,1,4,10,2,2,,,2,1,0.4116,0.55,26.512,146.512,266.512
1,1,1,4,11,2,3,,,2,0,0.4773,0.55,303.943,63.943,183.943
1,1,1,4,12,2,1,,,1,1,0.924,0.55,195.111,315.111,75.111
1,1,1,4,13,2,3,,,3,1,0.5525,0.55,266.848,26.848,146.848
1,1,1,4,14,2,2,,,2,1,0.5149,0.55,124.645,244.645,4.645
1,1,1,4,15,2,2,,,3,0,0.5118,0.55,328.371,88.371,208.371
1,1,1,4,16,2,1,,,1,1,0.6044,0.55,298.288,58.288,178.288
1,1,1,4,17,2,1,,,2,0,1.0776,0.55,216.96,336.96,96.96
1,1,1,4,18,2,3,,,2,0,0.9866,0.55,207.323,327.323,87.323
1,1,1,4,19,2,3,,,1,0,1.4282,0.55,28.906,148.906,268.906
1,1,1,4,20,2,1,,,3,0,0.5561,0.55,8.65,128.65,248.65
1,1,1,4,21,2,1,,,1,1,0.5198,0.55,121.005,241.005,1.005
1,1,1,4,22,2,1,,,3,0,1.1073,0.55,199.723,319.723,79.723
1,1,1,4,23,2,3,,,3,1,0.6001,0.55,56.478,176.478,296.478
1,1,1,4,24,2,2,,,2,1,0.4668,0.55,132.128,252.128,12.128
1,1,1,4,25,2,1,,,1,1,0.5759,0.55,253.957,13.957,133.957
1,1,1,4,26,2,1,,,1,1,0.5065,0.55,49.048,169.048,289.048
1,1,1,4,27,2,3,,,3,1,0.4866,0.55,75.199,195.199,315.199
1,1,1,4,28,2,2,,,2,1,0.5001,0.55,67.157,187.157,307.157
1,1,1,4,29,2,2,,,3,0,1.1533,0.55,218.299,338.299,98.299
1,1,1,4,30,2,2,,,2,1,0.3729,0.55,136.809,256.809,16.809
1,1,1,4,31,2,3,,,3,1,0.5831,0.55,65.806,185.806,305.806
1,1,1,4,32,2,1,,,3,0,0.9291,0.55,221.951,341.951,101.951
1,1,1,4,33,2,2,,,2,1,0.4931,0.55,45.629,165.629,285.629
1,1,1,4,34,2,2,,,2,1,0.6975,0.55,224.428,344.428,104.428
1,1,1,4,35,2,3,,,1,0,0.88,0.55,197.04,317.04,77.04
1,1,1,4,36,2,3,,,2,0,0.4289,0.55,20.644,140.644,260.644
1,1,1,4,37,2,3,,,1,0,0.4468,0.55,5.737,125.737,245.737
1,1,1,4,38,2,1,,,2,0,0.1739,0.55,175.492,295.492,55.492
1,1,1,4,39,2,3,,,3,1,0.6655,0.55,247.429,7.429,127.429
1,1,1,4,40,2,3,,,2,0,0.4959,0.55,2.952,122.952,242.952
1,1,1,4,41,2,1,,,2,0,0.4132,0.55,9.79,129.79,249.79
1,1,1,4,42,2,3,,,1,0,0.4783,0.55,10.019,130.019,250.019
1,1,1,4,43,2,2,,,2,1,0.4923,0.55,127.168,247.168,7.168
1,1,1,4,44,2,1,,,2,0,1.8348,0.55,321.142,81.142,201.142
1,1,1,4,45,2,2,,,2,1,0.4972,0.55,85.573,205.573,325.573
1,1,1,4,46,2,2,,,2,1,0.4139,0.55,224.957,344.957,104.957
1,1,1,4,47,2,3,,,1,0,0.7198,0.55,4.084,124.084,244.084
1,1,1,4,48,2,3,,,2,0,0.5963,0.55,172.058,292.058,52.058
1,1,1,4,49,2,1,,,3,0,0.4638,0.55,17.437,137.437,257.437
1,1,1,4,50,2,1,,,3,0,0.7492,0.55,1.496,121.496,241.496
1,1,2,1,1,2,3,,,3,1,0.5494,0.55,240.531,0.531,120.531
1,1,2,1,2,2,3,,,3,1,0.5122,0.55,172.241,292.241,52.241
1,1,2,1,3,2,3,,,3,1,0.4773,0.55,194.203,314.203,74.203
1,1,2,1,4,2,1,,,1,1,0.3642,0.55,252.296,12.296,132.296
1,1,2,1,5,2,3,,,2,0,0.7351,0.55,0.528,120.528,240.528
1,1,2,1,6,2,1,,,1,1,0.6732,0.55,223.192,343.192,103.192
1,1,2,1,7,2,3,,,3,1,0.4408,0.55,122.664,242.664,2.664
1,1,2,1,8,2,3,,,1,0,0.664,0.55,198.091,318.091,78.091
1,1,2,1,9,2,3,,,3,1,0.3979,0.55,123.69,243.69,3.69
1,1,2,1,10,2,3,,,1,0,0.832,0.55,204.878,324.878,84.878
1,1,2,1,11,2,2,,,3,0,0.4162,0.55,320.513,80.513,200.513
1,1,2,1,12,2,1,,,1,1,0.3997,0.55,138.136,258.136,18.136
1,1,2,1,13,2,3,,,3,1,0.5298,0.55,214.297,334.297,94.297
1,1,2,1,14,2,1,,,1,1,0.5901,0.55,248.394,8.394,128.394
1,1,2,1,15,2,3,,,1,0,0.5998,0.55,358.419,118.419,238.419
1,1,2,1,16,2,2,,,1,0,0.464,0.55,119.45,239.45,359.45
1,1,2,1,17,2,2,,,2,1,0.5275,0.55,192.183,312.183,72.183
1,1,2,1,18,2,1,,,1,1,0.4604,0.55,185.809,305.809,65.809
1,1,2,1,19,2,2,,,2,1,1.2755,0.55,296.16,56.16,176.16
