subject,run,block,condition,trial_in_block,dominant_color,alternative_color,response,correct,confidence,rt_choice,rt_confidence
1,2,3,2,13,4,1,4,1,1,3.3927,3.7034
1,2,3,2,14,3,1,3,1,4,1.5465,2.0431
1,2,3,2,15,3,1,3,1,4,1.2727,2.0092
1,2,3,2,16,4,2,2,0,1,3.3685,4.2001
1,2,3,2,17,1,3,1,1,1,11.2462,12.0939
1,2,3,2,18,1,3,1,1,3,1.5667,2.1907
1,2,3,2,19,4,3,3,0,3,1.7979,2.3106
1,2,3,2,20,3,2,3,1,3,1.3371,1.9766
1,2,3,2,21,4,1,4,1,1,2.393,2.9049
1,2,3,2,22,3,4,3,1,3,2.1792,3.3792
1,2,3,2,23,1,3,1,1,1,2.2831,2.619
1,2,3,2,24,2,1,2,1,4,5.4723,9.6163
1,2,3,2,25,4,3,4,1,1,2.7595,3.0795
1,2,3,2,26,2,1,2,1,3,1.7077,2.203
1,2,3,2,27,2,4,2,1,3,1.4097,1.7183
1,2,3,2,28,3,2,3,1,3,1.7247,2.1091
1,2,3,2,29,4,2,2,0,4,2.0725,2.6166
1,2,3,2,30,1,3,3,0,1,2.2871,2.6233
1,2,3,2,31,1,2,1,1,1,1.4774,1.8611
1,2,3,2,32,3,1,3,1,3,1.3068,1.6185
1,2,3,2,33,1,4,4,0,1,2.6019,2.9201
1,2,3,2,34,4,2,4,1,1,3.5718,4.2116
1,2,3,2,35,3,2,3,1,2,1.7694,2.1691
1,3,1,3,1,1,2,2,0,3,1.8562,2.2396
1,3,1,3,2,1,2,1,1,4,1.8458,2.1978
1,3,1,3,3,1,2,2,0,2,2.2378,2.8141
1,3,1,3,4,1,2,1,1,2,1.5004,1.8362
1,3,1,3,5,1,2,2,0,1,1.5549,1.9866
1,3,1,3,6,2,1,2,1,4,1.0743,1.3842
1,3,1,3,7,2,1,2,1,4,1.6276,1.9354
1,3,1,3,8,2,1,2,1,4,1.7736,2.0854
1,3,1,3,9,1,2,1,1,3,1.849,4.7774
1,3,1,3,10,2,1,2,1,3,1.0789,1.4311
1,3,1,3,11,1,2,1,1,3,1.7098,2.3022
1,3,1,3,12,1,2,2,0,2,1.665,1.9851
1,3,1,3,13,2,1,2,1,3,1.0251,2.0491
1,3,1,3,14,1,2,1,1,1,2.0796,2.4029
1,3,1,3,15,1,2,1,1,1,3.8064,4.1212
1,3,1,3,16,1,2,1,1,3,1.8628,2.3105
1,3,1,3,17,2,1,2,1,2,1.6425,1.9523
1,3,1,3,18,2,1,2,1,3,0.9232,1.2439
1,3,1,3,19,2,1,2,1,4,0.7786,1.1013
1,3,1,3,20,2,1,2,1,4,0.5105,0.8312
1,3,1,3,21,2,1,2,1,4,0.501,0.8177
1,3,1,3,22,2,1,2,1,4,0.6872,1.0011
1,3,1,3,23,1,2,1,1,3,1.0958,1.992
1,3,1,3,24,1,2,1,1,3,1.1921,1.5762
1,3,1,3,25,2,1,2,1,4,0.8568,1.1679
1,3,1,3,26,2,1,2,1,4,0.7949,1.118
1,3,1,3,27,1,2,1,1,3,1.439,1.7518
1,3,1,3,28,2,1,2,1,4,1.1441,1.5761
1,3,1,3,29,2,1,2,1,4,0.794,1.1182
1,3,1,3,30,2,1,2,1,4,0.7333,1.0511
1,3,1,3,31,1,2,1,1,1,1.62,2.004
1,3,1,3,32,1,2,1,1,1,1.0912,1.427
1,3,1,3,33,2,1,2,1,3,0.8744,1.1847
1,3,1,3,34,1,2,2,0,1,0.6193,1.2596
1,3,1,3,35,1,2,1,1,2,1.3378,1.6518
1,3,2,2,1,1,2,2,0,1,2.4785,2.7865
1,3,2,2,2,4,3,2,0,1,1.6461,1.9689
1,3,2,2,3,2,3,2,1,3,1.9025,2.2192
1,3,2,2,4,2,3,2,1,4,0.8533,1.2853
1,3,2,2,5,3,4,3,1,3,1.4897,1.8019
1,3,2,2,6,2,1,2,1,3,1.0011,1.5131
1,3,2,2,7,3,2,3,1,3,1.1335,1.4536
1,3,2,2,8,3,1,3,1,3,1.5389,2.0033
1,3,2,2,9,4,1,4,1,1,2.8665,3.1871
1,3,2,2,10,4,1,4,1,1,1.2812,1.6019
1,3,2,2,11,3,1,3,1,2,1.4889,1.857
1,3,2,2,12,4,1,1,0,1,2.039,2.3526
1,3,2,2,13,2,1,2,1,2,1.4478,1.7686
1,3,2,2,14,3,2,3,1,4,1.3929,1.7018
1,3,2,2,15,3,2,3,1,3,1.2929,1.6017
1,3,2,2,16,2,3,2,1,3,1.6608,1.9687
1,3,2,2,17,4,3,3,0,3,2.4295,2.7531
1,3,2,2,18,3,2,3,1,3,0.8141,1.2623
1,3,2,2,19,3,2,3,1,3,0.7803,1.1015
1,3,2,2,20,4,2,3,0,3,0.9608,1.6812
1,3,2,2,21,4,1,4,1,1,1.8382,2.254
1,3,2,2,22,4,3,3,0,2,1.2033,1.5184
1,3,2,2,23,1,4,1,1,1,1.3497,1.6686
1,3,2,2,24,3,2,2,0,1,1.5868,2.0673
1,3,2,2,25,1,2,2,0,1,2.639,3.2795
1,3,2,2,26,2,1,2,1,1,1.4832,1.802
1,3,2,2,27,1,3,1,1,1,1.4264,1.7782
1,3,2,2,28,1,4,4,0,1,1.7394,2.0748
1,3,2,2,29,4,2,4,1,1,1.5918,1.902
1,3,2,2,30,2,3,2,1,1,1.2434,1.5517
1,3,2,2,31,4,3,4,1,3,1.3255,2.0935
1,3,2,2,32,3,2,4,0,3,1.001,1.337
1,3,2,2,33,3,1,4,0,3,1.0285,1.492
1,3,2,2,34,1,3,1,1,1,1.0647,1.3849
1,3,2,2,35,3,1,4,0,3,0.8648,1.3288
1,3,3,1,1,4,,2,0,3,1.2673,2.275
1,3,3,1,2,1,,3,0,2,1.1596,2.0719
1,3,3,1,3,2,,2,1,2,1.2522,1.5687
1,3,3,1,4,2,,2,1,2,0.8372,1.1513
1,3,3,1,5,2,,2,1,3,0.6961,1.0179
