subject,dominant_color,response,n
22,2,1,2
22,2,2,42
22,2,3,3
22,2,4,2
22,3,1,1
22,3,2,7
22,3,3,34
22,3,4,6
22,4,1,4
22,4,2,15
22,4,3,7
22,4,4,30
23,1,1,33
23,1,2,7
23,1,3,7
23,1,4,1
23,2,1,2
23,2,2,40
23,2,3,5
23,2,4,0
23,3,1,1
23,3,2,2
23,3,3,46
23,3,4,2
23,4,1,4
23,4,2,18
23,4,3,22
23,4,4,20
24,1,1,24
24,1,2,21
24,1,3,4
24,1,4,0
24,2,1,0
24,2,2,42
24,2,3,1
24,2,4,0
24,3,1,4
24,3,2,14
24,3,3,34
24,3,4,4
24,4,1,8
24,4,2,30
24,4,3,9
24,4,4,15
25,1,1,44
25,1,2,7
25,1,3,9
25,1,4,0
25,2,1,0
25,2,2,46
25,2,3,12
25,2,4,1
25,3,1,0
25,3,2,1
25,3,3,44
25,3,4,0
25,4,1,3
25,4,2,6
25,4,3,19
25,4,4,18
26,1,1,38
26,1,2,6
26,1,3,6
26,1,4,1
26,2,1,1
26,2,2,47
26,2,3,3
26,2,4,0
26,3,1,2
26,3,2,3
26,3,3,44
26,3,4,1
26,4,1,5
26,4,2,13
26,4,3,14
26,4,4,26
27,1,1,36
27,1,2,6
27,1,3,2
27,1,4,3
27,2,1,4
27,2,2,50
27,2,3,0
27,2,4,1
27,3,1,2
27,3,2,7
27,3,3,45
27,3,4,1
27,4,1,2
27,4,2,11
27,4,3,10
27,4,4,30
28,1,1,50
28,1,2,2
28,1,3,1
28,1,4,1
28,2,1,4
28,2,2,40
28,2,3,5
28,2,4,0
28,3,1,16
28,3,2,8
28,3,3,35
28,3,4,0
28,4,1,7
28,4,2,16
28,4,3,9
28,4,4,16
29,1,1,25
29,1,2,9
29,1,3,12
29,1,4,5
29,2,1,0
29,2,2,43
29,2,3,5
29,2,4,1
29,3,1,0
29,3,2,3
29,3,3,52
29,3,4,0
29,4,1,2
29,4,2,7
29,4,3,10
29,4,4,36
30,1,1,30
30,1,2,5
30,1,3,7
30,1,4,4
30,2,1,4
30,2,2,38
30,2,3,12
30,2,4,2
30,3,1,0
30,3,2,5
30,3,3,47
30,3,4,0
30,4,1,2
30,4,2,5
30,4,3,11
30,4,4,38
31,1,1,31
31,1,2,12
31,1,3,5
31,1,4,8
31,2,1,4
31,2,2,43
31,2,3,1
31,2,4,2
31,3,1,3
31,3,2,9
31,3,3,24
31,3,4,6
31,4,1,9
31,4,2,20
31,4,3,8
31,4,4,25
32,1,1,24
32,1,2,11
32,1,3,14
32,1,4,0
32,2,1,2
32,2,2,41
32,2,3,4
32,2,4,1
32,3,1,2
32,3,2,5
32,3,3,45
32,3,4,0
32,4,1,6
32,4,2,15
32,4,3,26
32,4,4,14
