subject,session,run,block,trial_in_block,dominant_symbol,response1,correct1,response2,correct2,rt1,rt2
1,1,1,3,19,4,6,0,1,0,0.3946,1.0539
1,1,1,3,20,1,3,0,,,0.7327,0.0
1,1,1,3,21,1,5,0,,,0.3118,0.0
1,1,1,3,22,2,2,1,,,0.5011,0.0
1,1,1,3,23,2,2,1,,,0.8628,0.0
1,1,1,3,24,6,6,1,,,0.3773,0.0
1,1,1,3,25,5,3,0,4,0,0.8562,0.52
1,1,1,3,26,1,6,0,,,0.4763,0.0
1,1,1,3,27,2,3,0,,,0.7555,0.0
1,1,1,3,28,3,5,0,2,0,0.6544,0.8061
1,1,1,3,29,6,6,1,,,0.3994,0.0
1,1,1,3,30,6,2,0,5,0,0.7649,0.7854
1,1,1,3,31,6,6,1,,,0.6982,0.0
1,1,1,3,32,1,1,1,,,0.9885,0.0
1,1,1,3,33,5,5,1,,,0.482,0.0
1,1,1,3,34,1,5,0,2,0,0.4604,0.7649
1,1,1,3,35,4,4,1,,,1.1271,0.0
1,1,1,3,36,3,1,0,,,1.6713,0.0
1,1,1,3,37,4,2,0,,,0.7803,0.0
1,1,1,3,38,3,5,0,,,0.6776,0.0
1,1,1,3,39,4,4,1,,,0.6445,0.0
1,1,1,3,40,6,6,1,,,0.4082,0.0
1,1,1,3,41,4,4,1,,,0.6622,0.0
1,1,1,3,42,5,5,1,,,0.5219,0.0
1,1,1,3,43,3,3,1,,,0.9783,0.0
1,1,1,3,44,4,6,0,,,0.5053,0.0
1,1,1,3,45,2,2,1,,,0.6383,0.0
1,1,1,3,46,5,2,0,,,0.8343,0.0
1,1,1,3,47,3,6,0,,,0.4257,0.0
1,1,1,3,48,6,6,1,,,0.6261,0.0
1,1,1,3,49,2,6,0,2,1,0.4876,1.6066
1,1,1,3,50,6,6,1,,,0.2912,0.0
1,1,1,4,1,6,6,1,,,0.2908,0.0
1,1,1,4,2,5,6,0,,,0.246,0.0
1,1,1,4,3,6,6,1,,,0.4531,0.0
1,1,1,4,4,2,2,1,,,0.8493,0.0
1,1,1,4,5,3,3,1,,,0.7322,0.0
1,1,1,4,6,5,5,1,,,0.4921,0.0
1,1,1,4,7,3,3,1,,,0.5509,0.0
1,1,1,4,8,4,4,1,,,0.5902,0.0
1,1,1,4,9,6,6,1,,,0.5806,0.0
1,1,1,4,10,1,1,1,,,0.7629,0.0
1,1,1,4,11,3,3,1,,,0.6972,0.0
1,1,1,4,12,2,2,1,,,0.5391,0.0
1,1,1,4,13,5,5,1,,,0.4514,0.0
1,1,1,4,14,2,2,1,,,0.5111,0.0
1,1,1,4,15,1,1,1,,,0.5209,0.0
1,1,1,4,16,6,6,1,,,0.3859,0.0
1,1,1,4,17,3,5,0,,,0.5285,0.0
1,1,1,4,18,5,2,0,,,0.4518,0.0
1,1,1,4,19,6,6,1,,,0.7632,0.0
1,1,1,4,20,4,2,0,,,0.5221,0.0
1,1,1,4,21,1,2,0,5,0,0.9261,0.8594
1,1,1,4,22,4,1,0,3,0,0.6743,1.3858
1,1,1,4,23,1,1,1,,,0.4585,0.0
1,1,1,4,24,6,6,1,,,0.3107,0.0
1,1,1,4,25,6,6,1,,,1.4967,0.0
1,1,1,4,26,2,2,1,,,0.4408,0.0
1,1,1,4,27,1,1,1,,,0.2611,0.0
1,1,1,4,28,4,2,0,4,1,0.6811,0.6729
1,1,1,4,29,4,1,0,,,0.7079,0.0
1,1,1,4,30,3,5,0,2,0,0.2883,0.9679
1,1,1,4,31,3,3,1,,,1.1456,0.0
1,1,1,4,32,1,1,1,,,0.4739,0.0
1,1,1,4,33,4,6,0,,,0.4529,0.0
1,1,1,4,34,2,5,0,2,1,0.4437,0.8606
1,1,1,4,35,5,1,0,4,0,0.5035,0.5182
1,1,1,4,36,6,6,1,,,0.3144,0.0
1,1,1,4,37,2,2,1,,,0.5554,0.0
1,1,1,4,38,3,6,0,,,0.4673,0.0
1,1,1,4,39,5,5,1,,,0.7781,0.0
1,1,1,4,40,5,6,0,5,1,0.5199,0.7255
1,1,1,4,41,2,2,1,,,0.3903,0.0
1,1,1,4,42,2,2,1,,,0.4208,0.0
1,1,1,4,43,4,5,0,,,0.8016,0.0
1,1,1,4,44,6,6,1,,,0.4109,0.0
1,1,1,4,45,3,3,1,,,0.8724,0.0
1,1,1,4,46,1,1,1,,,0.5151,0.0
1,1,1,4,47,1,3,0,2,0,0.78,0.6555
1,1,1,4,48,5,6,0,5,1,0.3828,0.6905
1,1,1,4,49,4,6,0,5,0,0.4526,0.4046
1,1,1,4,50,6,6,1,,,0.2386,0.0
1,1,2,1,1,6,6,1,,,0.2286,0.0
1,1,2,1,2,2,3,0,,,1.8337,0.0
1,1,2,1,3,1,6,0,2,0,0.3918,1.0668
1,1,2,1,4,6,5,0,6,1,0.4894,0.4245
1,1,2,1,5,3,3,1,,,0.9008,0.0
1,1,2,1,6,2,1,0,,,0.3349,0.0
1,1,2,1,7,3,3,1,,,0.6665,0.0
1,1,2,1,8,1,5,0,,,0.5248,0.0
1,1,2,1,9,6,6,1,,,0.2736,0.0
1,1,2,1,10,3,3,1,,,0.7411,0.0
1,1,2,1,11,3,1,0,3,1,0.7091,0.507
1,1,2,1,12,4,3,0,,,0.5971,0.0
1,1,2,1,13,5,2,0,5,1,0.6456,0.7185
1,1,2,1,14,2,1,0,4,0,0.5919,1.0508
1,1,2,1,15,2,2,1,,,0.6974,0.0
1,1,2,1,16,4,4,1,,,0.8428,0.0
1,1,2,1,17,5,6,0,,,0.2306,0.0
1,1,2,1,18,6,6,1,,,0.167,0.0
1,1,2,1,19,6,5,0,6,1,0.7341,0.2592
1,1,2,1,20,3,5,0,,,0.5509,0.0
1,1,2,1,21,1,3,0,4,0,0.7298,0.5436
1,1,2,1,22,1,5,0,6,0,0.6271,0.3012
1,1,2,1,23,3,3,1,,,0.8265,0.0
1,1,2,1,24,3,3,1,,,0.8226,0.0
1,1,2,1,25,6,1,0,2,0,0.8995,0.7221
1,1,2,1,26,4,6,0,,,0.4788,0.0
1,1,2,1,27,2,1,0,3,0,1.1406,0.2805
1,1,2,1,28,1,5,0,,,0.5668,0.0
1,1,2,1,29,2,5,0,6,0,0.5372,0.4383
1,1,2,1,30,5,1,0,3,0,1.0542,0.294
1,1,2,1,31,4,2,0,,,0.4836,0.0
1,1,2,1,32,5,5,1,,,0.4413,0.0
1,1,2,1,33,2,2,1,,,0.5816,0.0
1,1,2,1,34,3,3,1,,,0.5234,0.0
1,1,2,1,35,1,5,0,,,0.5805,0.0
1,1,2,1,36,6,6,1,,,0.23,0.0
1,1,2,1,37,5,2,0,,,0.7308,0.0
1,1,2,1,38,5,6,0,,,0.2783,0.0
1,1,2,1,39,4,6,0,5,0,0.6125,0.3033
1,1,2,1,40,5,2,0,4,0,0.556,1.529
