subject,dominant_color,alternative_color,n_correct,n_wrong
12,3,1,12,3
12,3,2,17,1
12,3,4,15,0
12,4,1,8,7
12,4,2,15,2
12,4,3,6,14
13,1,2,14,4
13,1,3,10,0
13,1,4,11,9
13,2,1,17,0
13,2,3,12,2
13,2,4,16,3
13,3,1,25,0
13,3,2,21,0
13,3,4,16,2
13,4,1,15,0
13,4,2,12,4
13,4,3,12,5
14,1,2,12,2
14,1,3,10,3
14,1,4,13,0
14,2,1,19,2
14,2,3,17,1
14,2,4,19,2
14,3,1,18,4
14,3,2,10,7
14,3,4,18,1
14,4,1,14,8
14,4,2,10,4
14,4,3,8,8
15,1,2,16,6
15,1,3,11,1
15,1,4,17,3
15,2,1,13,0
15,2,3,12,1
15,2,4,7,4
15,3,1,21,2
15,3,2,19,3
15,3,4,15,3
15,4,1,15,0
15,4,2,18,6
15,4,3,14,3
16,1,2,8,4
16,1,3,21,0
16,1,4,11,2
16,2,1,23,0
16,2,3,17,0
16,2,4,14,0
16,3,1,13,1
16,3,2,17,1
16,3,4,17,1
16,4,1,20,2
16,4,2,15,6
16,4,3,15,2
17,1,2,18,1
17,1,3,15,3
17,1,4,17,0
17,2,1,15,1
17,2,3,18,2
17,2,4,13,0
17,3,1,15,2
17,3,2,10,5
17,3,4,16,0
17,4,1,16,2
17,4,2,17,5
17,4,3,15,4
18,1,2,13,1
18,1,3,17,2
18,1,4,10,0
18,2,1,21,0
18,2,3,18,0
18,2,4,19,1
18,3,1,16,0
18,3,2,16,1
18,3,4,20,0
18,4,1,22,3
18,4,2,13,2
18,4,3,13,2
19,1,2,10,6
19,1,3,8,7
19,1,4,13,5
19,2,1,19,0
19,2,3,21,1
19,2,4,14,2
19,3,1,19,1
19,3,2,11,2
19,3,4,14,3
19,4,1,16,1
19,4,2,10,9
19,4,3,15,3
20,1,2,18,2
20,1,3,13,5
20,1,4,21,0
20,2,1,13,2
20,2,3,17,0
20,2,4,15,1
20,3,1,16,1
20,3,2,16,2
20,3,4,22,1
20,4,1,8,6
20,4,2,13,6
20,4,3,6,6
21,1,2,19,1
21,1,3,16,3
21,1,4,22,1
21,2,1,13,2
21,2,3,12,1
21,2,4,13,0
21,3,1,15,1
21,3,2,18,4
21,3,4,12,2
21,4,1,5,7
21,4,2,9,13
21,4,3,17,4
22,1,2,12,4
22,1,3,13,2
22,1,4,17,1
22,2,1,18,1
22,2,3,19,2
22,2,4,9,2
22,3,1,18,2
22,3,2,12,2
22,3,4,13,2
22,4,1,15,2
22,4,2,13,11
22,4,3,14,6
23,1,2,15,4
23,1,3,12,5
23,1,4,14,3
23,2,1,13,3
23,2,3,14,2
23,2,4,13,0
23,3,1,17,1
23,3,2,16,3
23,3,4,21,1
23,4,1,15,3
23,4,2,20,2
23,4,3,11,2
24,1,2,9,8
24,1,3,12,6
24,1,4,9,6
24,2,1,15,3
24,2,3,14,1
24,2,4,23,0
24,3,1,12,5
24,3,2,14,6
24,3,4,16,0
24,4,1,15,5
24,4,2,6,6
24,4,3,14,5
25,1,2,16,1
25,1,3,14,4
25,1,4,17,2
25,2,1,18,0
25,2,3,15,2
25,2,4,17,0
25,3,1,17,0
25,3,2,17,1
25,3,4,15,0
25,4,1,14,2
25,4,2,12,6
25,4,3,7,13
26,1,2,17,4
26,1,3,15,2
26,1,4,17,0
26,2,1,14,0
26,2,3,19,1
26,2,4,14,0
26,3,1,17,1
26,3,2,14,1
26,3,4,11,0
26,4,1,17,1
26,4,2,13,8
26,4,3,14,10
27,1,2,15,6
27,1,3,12,3
27,1,4,13,1
27,2,1,14,0
27,2,3,19,6
27,2,4,17,1
27,3,1,20,0
27,3,2,8,2
27,3,4,21,0
27,4,1,18,3
27,4,2,12,5
27,4,3,13,1
28,1,2,14,1
28,1,3,17,3
28,1,4,17,3
28,2,1,19,1
28,2,3,20,0
28,2,4,12,1
28,3,1,13,2
28,3,2,11,4
28,3,4,13,1
28,4,1,13,2
28,4,2,6,16
28,4,3,17,4
29,1,2,11,3
29,1,3,17,2
29,1,4,15,5
29,2,1,21,0
29,2,3,12,1
29,2,4,19,0
29,3,1,16,0
29,3,2,21,1
29,3,4,18,4
29,4,1,15,0
29,4,2,15,1
29,4,3,11,2
30,1,2,20,2
30,1,3,13,1
30,1,4,17,2
30,2,1,12,1
30,2,3,12,2
30,2,4,15,0
30,3,1,20,1
30,3,2,21,0
30,3,4,17,1
30,4,1,14,2
30,4,2,14,6
30,4,3,16,1
31,1,2,15,1
31,1,3,13,1
31,1,4,15,0
31,2,1,17,2
31,2,3,14,3
31,2,4,20,1
31,3,1,19,2
31,3,2,16,2
31,3,4,14,0
31,4,1,14,6
31,4,2,9,5
31,4,3,17,4
32,1,2,11,3
32,1,3,12,2
32,1,4,14,1
32,2,1,20,1
32,2,3,14,4
32,2,4,18,0
32,3,1,20,1
32,3,2,14,3
32,3,4,17,0
32,4,1,14,6
32,4,2,11,6
32,4,3,9,9
